Session,Exp,Set
410_FED_20160623b_3T2_PL2017,langlocSN,Language
411_FED_20160624a_3T2_PL2017,langlocSN,Language
412_FED_20160707a_3T1_PL2017,langlocSN,Language
413_FED_20160707c_3T1_PL2017,langlocSN,Language
414_FED_20160711b_3T1_PL2017,langlocSN,Language
415_FED_20160714a_3T2_PL2017,langlocSN,Language
416_FED_20160802a_3T1_PL2017,langlocSN,Language
417_FED_20160803b_3T1_PL2017,langlocSN,Language
417_FED_20161217c_3T2_PL2017,langlocSN,Language
418_FED_20160803a_3T2_PL2017,langlocSN,Language
419_FED_20160805a_3T1_PL2017,langlocSN,Language
420_FED_20160805b_3T1_PL2017,langlocSN,Language
421_FED_20160804b_3T1_PL2017,langlocSN,Language
422_FED_20160816a_3T1_PL2017,langlocSN,Language
423_FED_20160817c_3T1_PL2017,langlocSN,Language
424_FED_20160930a_3T1_PL2017,langlocSN,Language
424_FED_20161102b_3T1_PL2017,langlocSN,Language
424_FED_20160817a_3T1_PL2017,langlocSN,Language
425_FED_20160818b_3T1_PL2017,langlocSN,Language
426_FED_20160823a_3T1_PL2017,langlocSN,Language
426_FED_20160908d_3T1_PL2017,langlocSN,Language
427_FED_20160823c_3T1_PL2017,langlocSN,Language
428_FED_20160906a_3T2_PL2017,langlocSN,Language
429_FED_20160906b_3T2_PL2017,langlocSN,Language
430_FED_20160906d_3T2_PL2017,langlocSN,Language
430_FED_20170110b_3T2_PL2017,langlocSN,Language
430_FED_20170426d_3T2_PL2017,langlocSN,Language
430_FED_20170614c_3T2_PL2017,langlocSN,Language
430_FED_20170823a_3T2_PL2017,langlocSN,Language
431_FED_20160907d_3T2_PL2017,langlocSN,Language
432_FED_20160907a_3T2_PL2017,langlocSN,Language
433_FED_20160908c_3T1_PL2017,langlocSN,Language
434_FED_20160909c_3T2_PL2017,langlocSN,Language
435_FED_20160909b_3T2_PL2017,langlocSN,Language
436_FED_20160909d_3T2_PL2017,langlocSN,Language
437_FED_20160929_3T1_PL2017,langlocSN,Language
438_FED_20160929a_3T1_PL2017,langlocSN,Language
439_POLY10_20160930_3T1_PL2017,langlocSN,Language
440_FED_20160930_3T2_PL2017,langlocSN,Language
441_FED_20161004a_3T1_PL2017,langlocSN,Language
442_FED_20161004b_3T1_PL2017,langlocSN,Language
443_FED_20170412_3T2_PL2017,langlocSN,Language
443_FED_20161005_3T1_PL2017,langlocSN,Language
444_FED_20161006_3T1_PL2017,langlocSN,Language
445_FED_20161007_3T2_PL2017,langlocSN,Language
446_FED_20161007_3T2_PL2017,langlocSN,Language
447_FED_20161012a_3T2_PL2017,langlocSN,Language
448_FED_20161012b_3T2_PL2017,langlocSN,Language
449_FED_20161012c_3T2_PL2017,langlocSN,Language
449_FED_20170201b_3T2_PL2017,langlocSN,Language
450_FED_20161012_3T1_PL2017,langlocSN,Language
451_FED_20161013_3T1_PL2017,langlocSN,Language
452_POLY11_20161014_3T1_PL2017,langlocSN,Language
453_FED_20161014_3T1_PL2017,langlocSN,Language
454_FED_20161017_3T1_PL2017,langlocSN,Language
455_FED_20161018_3T1_PL2017,langlocSN,Language
456_FED_20161019b_3T1_PL2017,langlocSN,Language
457_FED_20161020_3T2_PL2017,langlocSN,Language
458_FED_20161021_3T2_PL2017,langlocSN,Language
459_FED_20161021_3T2_PL2017,langlocSN,Language
460_FED_20161025_3T1_PL2017,langlocSN,Language
461_FED_20161025a_3T1_PL2017,langlocSN,Language
462_FED_20161026_3T1_PL2017,langlocSN,Language
463_FED_20161026_3T1_PL2017,langlocSN,Language
464_FED_20161028_3T2_PL2017,langlocSN,Language
465_FED_20161027_3T1_PL2017,langlocSN,Language
466_FED_20161027_3T1_PL2017,langlocSN,Language
467_FED_20161028_3T1_PL2017,langlocSN,Language
468_FED_20161031_3T1_PL2017,langlocSN,Language
469_FED_20161031_3T1_PL2017,langlocSN,Language
470_FED_20161101_3T1_PL2017,langlocSN,Language
471_FED_20161101_3T1_PL2017,langlocSN,Language
472_FED_20161101a_3T2_PL2017,langlocSN,Language
473_FED_20190731a_3T2_PL2017,langlocSN,Language
473_FED_20170918b_3T2_PL2017,langlocSN,Language
473_FED_20161102a_3T1_PL2017,langlocSN,Language
474_FED_20161102_3T1_PL2017,langlocSN,Language
475_FED_20161103a_3T2_PL2017,langlocSN,Language
477_FED_20161103_3T2_PL2017,langlocSN,Language
478_FED_20161103_3T2_PL2017,langlocSN,Language
479_FED_20161104a_3T2_PL2017,langlocSN,Language
480_FED_20161104_3T1_PL2017,langlocSN,Language
